model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_tl_20250829,targeted,5,16,40,8.469465065002442,0.9757906764932,-0.35105626055836686,0.25935641759703865,0.9770456202218674,0.5810744815771616,True
resnet50_tl_20250829,targeted,5,32,40,25.13299732208252,2.7796476442690743,-0.4349413912072286,-0.09659723301124945,0.9690617415523284,0.33596560247749246,True
resnet50_tl_20250829,targeted,5,64,40,59.12871580123901,4.4145746240115,-0.7376352665082906,0.5501685363804096,0.9516254148428404,0.0862614644037988,True
resnet50_tl_20250829,targeted,5,8,40,4.025865745544434,0.6819753768600926,1.3952696093294739,4.3361878057238075,0.8960692597408089,0.0014720772946202295,False
resnet50_tl_20250829,targeted,6,16,40,9.83020305633545,1.1600070971517606,-0.6654090592292826,1.3728109005386155,0.9464922762688942,0.057469449700643556,True
resnet50_tl_20250829,targeted,6,32,40,29.307205200195312,3.332974954473253,-0.3037996844510147,-0.08735070251018051,0.9630676064865624,0.2129622324072321,True
resnet50_tl_20250829,targeted,6,64,40,67.89054498672485,4.834739483628331,-0.25499452668929584,-0.36702256643769404,0.9836418570032213,0.8205832061932983,True
resnet50_tl_20250829,targeted,6,8,40,4.610538673400879,0.8242358018150218,1.5954313002910707,5.596224925675253,0.8815243039122271,0.0005787421708370857,False
resnet50_tl_20250829,targeted,7,16,40,11.051368904113769,1.2603797898619862,-0.8438128737601533,1.612912332254706,0.933994854419963,0.0217897819521376,False
resnet50_tl_20250829,targeted,7,32,40,33.19277973175049,3.366077137333666,-0.3996717373722554,0.3019232970280368,0.9731634144544801,0.45058223148055393,True
resnet50_tl_20250829,targeted,7,64,40,76.08454170227051,5.575028668836619,-0.3747127807559735,-0.14858142793992712,0.9714798487896532,0.40042992105192066,True
resnet50_tl_20250829,targeted,7,8,40,5.171227645874024,0.8885104556282601,1.4578446276569974,4.394989041986096,0.8986593742472624,0.0017479176764048346,False
resnet50_tl_20250829,targeted,8,16,40,12.309692573547363,1.4531070690066694,-0.7123091879648104,0.9940933335488396,0.9416605090534941,0.03934717975389626,False
resnet50_tl_20250829,targeted,8,32,40,36.77855281829834,3.5356940883372543,-0.4154092376307069,0.5224718542951039,0.9757690826579963,0.5361542326358987,True
resnet50_tl_20250829,targeted,8,64,40,83.90402097702027,6.025029193662856,-0.544874669845273,-0.1381570645458674,0.9660385905682576,0.2677282102083236,True
resnet50_tl_20250829,targeted,8,8,40,5.708480262756348,0.9956261340116003,1.357419199828352,4.9427116822437425,0.8950702851781478,0.0013783531547716605,False
